"Latest: Time (s)","Latest: Acceleration (m/s²)","Run 1: Time (s)","Run 1: Acceleration (m/s²)"
2.32,-0.319141322305,2.32,-2.41694360419
2.34,-0.319141322305,2.34,-2.44493383618
2.36,-0.291151090315,2.36,-1.8291487324
2.38,-0.291151090315,2.38,-1.94110966036
2.4,-0.207180394344,2.4,-1.5212561805
2.42,-0.319141322305,2.42,-1.8291487324
2.44,-0.291151090315,2.44,-1.74517803642
2.46,-0.235170626335,2.46,-2.13704128429
2.48,-0.207180394344,2.48,-0.681549220796
2.5,-0.151199930364,2.5,-0.625568756816
2.52,-0.123209698374,2.52,-1.21336362861
2.54,-0.179190162354,2.54,-0.541598060845
2.56,-0.207180394344,2.56,-0.765519916767
2.58,-0.123209698374,2.58,-0.0937543490012
2.6,-0.0952194663834,2.6,-0.00978365303054
2.62,-0.0392390024029,2.62,0.494040522794
2.64,-0.0392390024029,2.64,0.158157738911
2.66,-0.123209698374,2.66,0.130167506921
2.68,-0.0672292343932,2.68,0.550020986774
2.7,-0.179190162354,2.7,0.745952610706
2.72,0.0167414615775,2.72,0.857913538667
2.74,-0.0392390024029,2.74,0.801933074686
2.76,0.0167414615775,2.76,1.13781585857
2.78,-0.0672292343932,2.78,1.47369864245
2.8,-0.0112487704127,2.8,1.86556189032
2.82,0.0167414615775,2.82,1.58565957041
2.84,0.100712157548,2.84,1.66963026638
2.86,0.072721925558,2.86,2.03350328226
2.88,0.0167414615775,2.88,2.00551305027
2.9,-0.0392390024029,2.9,2.03350328226
2.92,-0.0112487704127,2.92,2.4813469941
2.94,0.072721925558,2.94,2.31340560216
2.96,0.128702389538,2.96,2.22943490619
2.98,0.128702389538,2.98,2.06149351425
3,0.0167414615775,3,2.25742513818
3.02,0.0167414615775,3.02,2.42536653012
3.04,0.0447316935678,3.04,2.45335676211
3.06,0.184682853519,3.06,2.56531769007
3.08,0.156692621529,3.08,2.50933722609
3.1,0.0447316935678,3.1,2.45335676211
3.12,0.0167414615775,3.12,2.36938606614
3.14,0.0167414615775,3.14,2.50933722609
3.16,-0.0392390024029,3.16,2.25742513818
3.18,0.0447316935678,3.18,2.11747397823
3.2,0.0167414615775,3.2,2.03350328226
3.22,-0.0112487704127,3.22,2.17345444221
3.24,-0.0112487704127,3.24,2.31340560216
3.26,-0.123209698374,3.26,2.28541537017
3.28,-0.0392390024029,3.28,1.94953258629
3.3,0.072721925558,3.3,1.80958142633
3.32,-0.207180394344,3.32,1.6136498024
3.34,-0.0672292343932,3.34,1.66963026638
3.36,-0.207180394344,3.36,1.22178655454
3.38,-0.151199930364,3.38,1.38972794648
3.4,-0.319141322305,3.4,0.410069826823
3.42,-0.151199930364,3.42,1.22178655454
3.44,-0.263160858325,3.44,0.661981914735
3.46,-0.403112018276,3.46,0.661981914735
3.48,-0.487082714247,3.48,0.382079594833
3.5,-0.375121786286,3.5,0.354089362842
3.52,-0.375121786286,3.52,0.130167506921
3.54,-0.319141322305,3.54,0.214138202891
3.56,-0.431102250266,3.56,-0.317676204923
3.58,-0.487082714247,3.58,-0.429637132884
3.6,-0.543063178227,3.6,-0.541598060845
3.62,-0.487082714247,3.62,-0.905471076718
3.64,-0.487082714247,3.64,-0.821500380747
3.66,-0.683014338178,3.66,-0.709539452786
3.68,-0.766985034149,3.68,-1.12939293264
3.7,-0.711004570169,3.7,-1.43728548453
3.72,-0.683014338178,3.72,-1.5212561805
3.74,-0.599043642208,3.74,1.44570841046
3.76,-0.543063178227,3.76,-0.905471076718
3.78,-0.543063178227,3.78,-1.18537339662
3.8,-0.711004570169,3.8,-1.96909989235
3.82,-0.738994802159,3.82,-2.19302174827
3.84,-0.543063178227,3.84,-2.24900221225
3.86,-0.515072946237,3.86,-2.33297290822
3.88,-0.515072946237,3.88,-2.16503151628
3.9,-0.487082714247,3.9,-2.61287522812
3.92,-0.599043642208,3.92,-2.36096314021
3.94,-0.627033874198,3.94,-2.52890453215
3.96,-0.515072946237,3.96,-2.44493383618
3.98,-0.571053410217,3.98,-2.27699244424
4,-0.319141322305,4,-2.27699244424
4.02,-0.487082714247,4.02,-2.44493383618
4.04,-0.459092482256,4.04,-2.50091430016
4.06,-0.543063178227,4.06,-2.16503151628
4.08,-0.431102250266,4.08,-2.3889533722
4.1,-0.571053410217,4.1,-2.08106082031
4.12,-0.375121786286,4.12,-2.27699244424
4.14,-0.179190162354,4.14,-2.13704128429
4.16,-0.319141322305,4.16,-1.99709012434
4.18,-0.319141322305,4.18,-1.91311942837
4.2,-0.319141322305,4.2,-1.57723664448
4.22,-0.263160858325,4.22,-1.96909989235
4.24,-0.151199930364,4.24,-1.66120734045
4.26,0.0447316935678,4.26,-1.38130502055
4.28,-0.403112018276,4.28,-0.317676204923
4.3,0.100712157548,4.3,-1.85713896439
4.32,-0.347131554295,4.32,-1.71718780443
4.34,0.0167414615775,4.34,-1.35331478856
4.36,0.100712157548,4.36,-0.961451540698
4.38,-0.0112487704127,4.38,-0.821500380747
4.4,0.128702389538,4.4,-0.765519916767
4.42,0.0167414615775,4.42,-0.877480844728
4.44,0.072721925558,4.44,-0.401646900894
4.46,0.128702389538,4.46,-0.597578524825
4.48,0.29664378148,4.48,-0.00978365303054
4.5,0.100712157548,4.5,0.270118666872
4.52,0.29664378148,4.52,0.214138202891
4.54,0.29664378148,4.54,0.438060058813
4.56,0.408604709441,4.56,0.550020986774
4.58,0.464585173421,4.58,0.410069826823
4.6,0.492575405411,4.6,1.02585493061
4.62,0.35262424546,4.62,1.08183539459
4.64,0.35262424546,4.64,1.22178655454
4.66,0.35262424546,4.66,1.41771817847
4.68,0.380614477451,4.68,1.19379632255
4.7,0.35262424546,4.7,1.47369864245
4.72,0.408604709441,4.72,1.66963026638
4.74,0.380614477451,4.74,2.11747397823
4.76,0.32463401347,4.76,2.00551305027
4.78,0.380614477451,4.78,2.08948374624
4.8,0.464585173421,4.8,2.17345444221
4.82,0.436594941431,4.82,2.11747397823
4.84,0.29664378148,4.84,2.11747397823
4.86,0.184682853519,4.86,2.22943490619
4.88,0.32463401347,4.88,2.14546421022
4.9,0.380614477451,4.9,2.22943490619
4.92,0.660516797353,4.92,2.31340560216
4.94,0.436594941431,4.94,2.25742513818
4.96,0.436594941431,4.96,2.2014446742
4.98,0.212673085509,4.98,2.2014446742
5,0.100712157548,5,2.25742513818
5.02,0.156692621529,5.02,2.06149351425
5.04,0.29664378148,5.04,2.06149351425
5.06,0.26865354949,5.06,1.94953258629
5.08,-0.235170626335,5.08,2.03350328226
5.1,0.128702389538,5.1,1.86556189032
5.12,-0.151199930364,5.12,2.17345444221
5.14,-0.0392390024029,5.14,1.72561073036
5.16,-0.0952194663834,5.16,1.3337474825
5.18,-0.179190162354,5.18,1.55766933842
5.2,-0.0392390024029,5.2,1.30575725051
5.22,-0.319141322305,5.22,1.3337474825
5.24,-0.347131554295,5.24,1.27776701852
5.26,-0.207180394344,5.26,1.08183539459
5.28,-0.0672292343932,5.28,1.24977678653
5.3,-0.794975266139,5.3,0.773942842696
5.32,-0.627033874198,5.32,0.717962378715
5.34,-0.515072946237,5.34,0.494040522794
5.36,-0.543063178227,5.36,0.214138202891
5.38,-0.822965498129,5.38,0.242128434882
5.4,-0.655024106188,5.4,0.0741870429402
5.42,-0.459092482256,5.42,-0.0377738850208
5.44,-0.711004570169,5.44,-0.429637132884
5.46,-0.822965498129,5.46,-0.597578524825
5.48,-0.85095573012,5.48,-0.513607828855
5.5,-0.9069361941,5.5,-0.989441772689
5.52,-0.87894596211,5.52,-0.877480844728
5.54,-0.85095573012,5.54,-1.5212561805
5.56,-0.93492642609,5.56,-0.989441772689
5.58,-1.01889712206,5.58,-1.12939293264
5.6,-1.10286781803,5.6,-1.71718780443
5.62,-0.990906890071,5.62,-2.22101198026
5.64,-0.990906890071,5.64,-2.30498267623
5.66,-0.962916658081,5.66,-2.30498267623
5.68,-1.01889712206,5.68,-1.63321710846
5.7,-0.93492642609,5.7,-2.13704128429
5.72,-0.822965498129,5.72,-1.96909989235
5.74,-0.87894596211,5.74,-2.19302174827
5.76,-1.01889712206,5.76,-2.1090510523
5.78,-0.93492642609,5.78,-2.24900221225
5.8,-0.87894596211,5.8,-2.27699244424
5.82,-0.794975266139,5.82,-2.22101198026
5.84,-0.85095573012,5.84,-2.27699244424
5.86,-0.711004570169,5.86,-2.33297290822
5.88,-0.738994802159,5.88,-2.27699244424
5.9,-0.87894596211,5.9,-2.13704128429
5.92,-0.794975266139,5.92,-1.94110966036
5.94,-0.766985034149,5.94,-2.02508035633
5.96,-0.9069361941,5.96,-1.96909989235
5.98,-0.571053410217,5.98,-1.60522687647
6,-0.515072946237,6,-1.99709012434
6.02,-0.515072946237,6.02,-1.63321710846
6.04,-0.487082714247,6.04,-1.74517803642
6.06,-0.0672292343932,6.06,-1.8291487324
6.08,-0.431102250266,6.08,-2.05307058832
6.1,-0.431102250266,6.1,-1.63321710846
6.12,-0.347131554295,6.12,-0.793510148757
6.14,0.0167414615775,6.14,-1.18537339662
6.16,-0.151199930364,6.16,-2.41694360419
6.18,0.100712157548,6.18,-1.21336362861
6.2,0.0167414615775,6.2,-0.709539452786
6.22,0.184682853519,6.22,-0.737529684777
6.24,0.100712157548,6.24,-0.737529684777
6.26,0.184682853519,6.26,-0.429637132884
6.28,0.184682853519,6.28,-0.233705508952
6.3,0.128702389538,6.3,0.0461968109499
6.32,0.212673085509,6.32,-0.261695740943
6.34,0.576546101382,6.34,-0.00978365303054
6.36,0.464585173421,6.36,-0.149734812982
6.38,0.35262424546,6.38,0.410069826823
6.4,0.35262424546,6.4,0.298108898862
6.42,0.632526565363,6.42,0.410069826823
6.44,0.800467957304,6.44,0.633991682745
6.46,0.604536333372,6.46,0.661981914735
6.48,0.604536333372,6.48,1.02585493061
6.5,0.688507029343,6.5,0.857913538667
6.52,0.716497261333,6.52,1.0538451626
6.54,0.772477725314,6.54,1.38972794648
6.56,0.800467957304,6.56,1.3337474825
6.58,0.744487493324,6.58,1.19379632255
6.6,0.772477725314,6.6,1.6136498024
6.62,0.660516797353,6.62,1.86556189032
6.64,0.800467957304,6.64,1.75360096235
6.66,0.828458189294,6.66,1.83757165832
6.68,0.856448421284,6.68,1.72561073036
6.7,0.744487493324,6.7,1.97752281828
6.72,0.716497261333,6.72,1.86556189032
6.74,0.548555869392,6.74,2.00551305027
6.76,0.800467957304,6.76,2.00551305027
6.78,0.632526565363,6.78,2.03350328226
6.8,0.772477725314,6.8,2.08948374624
6.82,0.436594941431,6.82,2.08948374624
6.84,0.35262424546,6.84,2.06149351425
6.86,0.632526565363,6.86,1.97752281828
6.88,0.576546101382,6.88,1.94953258629
6.9,0.464585173421,6.9,1.9215423543
6.92,0.35262424546,6.92,2.22943490619
6.94,0.29664378148,6.94,1.52967910643
6.96,0.26865354949,6.96,1.64164003439
6.98,0.26865354949,6.98,1.47369864245
7,-0.123209698374,7,1.44570841046
7.02,0.0167414615775,7.02,1.36173771449
7.04,-0.319141322305,7.04,1.3337474825
7.06,-0.0112487704127,7.06,1.52967910643
7.08,-0.207180394344,7.08,0.941884234637
7.1,-0.207180394344,7.1,0.941884234637
7.12,-0.319141322305,7.12,1.19379632255
7.14,-0.123209698374,7.14,0.689972146725
7.16,-0.487082714247,7.16,0.633991682745
7.18,-0.375121786286,7.18,0.438060058813
7.2,-0.711004570169,7.2,0.438060058813
7.22,-0.822965498129,7.22,0.354089362842
7.24,-0.263160858325,7.24,0.0741870429402
7.26,-0.990906890071,7.26,-0.121744580991
7.28,-1.21482874599,7.28,-0.513607828855
7.3,-0.766985034149,7.3,-0.205715276962
7.32,-0.627033874198,7.32,-0.513607828855
7.34,-1.04688735405,7.34,-0.597578524825
7.36,-0.9069361941,7.36,-0.709539452786
7.38,-0.990906890071,7.38,-0.793510148757
7.4,-1.13085805002,7.4,-0.653558988806
7.42,-1.21482874599,7.42,-0.961451540698
7.44,-1.27080920997,7.44,-1.18537339662
7.46,-1.32678967395,7.46,-1.15738316463
7.48,-1.32678967395,7.48,-1.35331478856
7.5,-1.41076036992,7.5,-1.66120734045
7.52,-1.4667408339,7.52,-1.10140270065
7.54,-1.41076036992,7.54,-1.74517803642
7.56,-1.29879944196,7.56,-1.80115850041
7.58,-1.21482874599,7.58,-1.96909989235
7.6,-1.32678967395,7.6,-1.94110966036
7.62,-1.32678967395,7.62,-1.88512919638
7.64,-1.32678967395,7.64,-1.99709012434
7.66,-1.35477990594,7.66,-2.05307058832
7.68,-1.15884828201,7.68,-1.96909989235
7.7,-1.35477990594,7.7,-2.08106082031
7.72,-1.4667408339,7.72,-2.13704128429
7.74,-0.93492642609,7.74,-2.08106082031
7.76,-1.04688735405,7.76,-2.02508035633
7.78,-1.13085805002,7.78,-2.05307058832
7.8,-1.04688735405,7.8,-1.91311942837
7.82,-0.85095573012,7.82,-1.88512919638
7.84,-0.822965498129,7.84,-1.74517803642
7.86,-0.794975266139,7.86,-2.24900221225
7.88,-0.543063178227,7.88,-1.80115850041
7.9,-1.04688735405,7.9,-1.63321710846
7.92,0.0447316935678,7.92,-1.60522687647
7.94,-0.263160858325,7.94,-1.43728548453
7.96,-0.571053410217,7.96,-1.85713896439
7.98,-0.291151090315,7.98,-1.32532455657
