"Latest: Time (s)","Latest: Acceleration (m/s²)","Run 1: Time (s)","Run 1: Acceleration (m/s²)"
2.38,2.39591118075,2.38,-1.94110966036
2.4,2.61983303667,2.4,-1.5212561805
2.42,2.61983303667,2.42,-1.8291487324
2.44,2.5358623407,2.44,-1.74517803642
2.46,2.61983303667,2.46,-2.13704128429
2.48,2.67581350065,2.48,-0.681549220796
2.5,2.64782326866,2.5,-0.625568756816
2.52,2.64782326866,2.52,-1.21336362861
2.54,2.64782326866,2.54,-0.541598060845
2.56,2.64782326866,2.56,-0.765519916767
2.58,2.5358623407,2.58,-0.0937543490012
2.6,2.5358623407,2.6,-0.00978365303054
2.62,2.56385257269,2.62,0.494040522794
2.64,2.56385257269,2.64,0.158157738911
2.66,2.56385257269,2.66,0.130167506921
2.68,2.2559600208,2.68,0.550020986774
2.7,1.97605770089,2.7,0.745952610706
2.72,2.19997955682,2.72,0.857913538667
2.74,1.9480674689,2.74,0.801933074686
2.76,1.72414561298,2.76,1.13781585857
2.78,1.27630190114,2.78,1.47369864245
2.8,1.02438981323,2.8,1.86556189032
2.82,1.13635074119,2.82,1.58565957041
2.84,1.16434097318,2.84,1.66963026638
2.86,0.884438653275,2.86,2.03350328226
2.88,0.240663317499,2.88,2.00551305027
2.9,0.35262424546,2.9,2.03350328226
2.92,0.0447316935678,2.92,2.4813469941
2.94,-0.0112487704127,2.94,2.31340560216
2.96,0.29664378148,2.96,2.22943490619
2.98,-0.347131554295,2.98,2.06149351425
3,-0.319141322305,3,2.25742513818
3.02,-0.263160858325,3.02,2.42536653012
3.04,-0.543063178227,3.04,2.45335676211
3.06,-1.38277013793,3.06,2.56531769007
3.08,-1.15884828201,3.08,2.50933722609
3.1,-1.4667408339,3.1,2.45335676211
3.12,-1.38277013793,3.12,2.36938606614
3.14,-1.66267245784,3.14,2.50933722609
3.16,-1.97056500973,3.16,2.25742513818
3.18,-2.0545357057,3.18,2.11747397823
3.2,-1.88659431376,3.2,2.03350328226
3.22,-1.97056500973,3.22,2.17345444221
3.24,-2.3344380256,3.24,2.31340560216
3.26,-2.64233057749,3.26,2.28541537017
3.28,-2.41840872157,3.28,1.94953258629
3.3,-2.9222328974,3.3,1.80958142633
3.32,-2.53036964953,3.32,1.6136498024
3.34,-3.00620359337,3.34,1.66963026638
3.36,-2.97821336138,3.36,1.22178655454
3.38,-3.06218405735,3.38,1.38972794648
3.4,-2.69831104147,3.4,0.410069826823
3.42,-3.00620359337,3.42,1.22178655454
3.44,-2.97821336138,3.44,0.661981914735
3.46,-2.69831104147,3.46,0.661981914735
3.48,-2.83826220143,3.48,0.382079594833
3.5,-2.9222328974,3.5,0.354089362842
3.52,-2.58635011351,3.52,0.130167506921
3.54,-2.86625243342,3.54,0.214138202891
3.56,-2.67032080948,3.56,-0.317676204923
3.58,-2.64233057749,3.58,-0.429637132884
3.6,-2.53036964953,3.6,-0.541598060845
3.62,-2.11051616968,3.62,-0.905471076718
3.64,-1.85860408177,3.64,-0.821500380747
3.66,-2.25046732963,3.66,-0.709539452786
3.68,-1.88659431376,3.68,-1.12939293264
3.7,-1.71865292182,3.7,-1.43728548453
3.72,-1.69066268983,3.72,-1.5212561805
3.74,-1.74664315381,3.74,1.44570841046
3.76,-1.35477990594,3.76,-0.905471076718
3.78,-0.87894596211,3.78,-1.18537339662
3.8,-0.683014338178,3.8,-1.96909989235
3.82,-0.822965498129,3.82,-2.19302174827
3.84,-0.711004570169,3.84,-2.24900221225
3.86,-0.459092482256,3.86,-2.33297290822
3.88,-0.207180394344,3.88,-2.16503151628
3.9,-0.263160858325,3.9,-2.61287522812
3.92,-0.151199930364,3.92,-2.36096314021
3.94,0.29664378148,3.94,-2.52890453215
3.96,0.380614477451,3.96,-2.44493383618
