"Run 1: Time (s)","Run 1: Acceleration (m/s²)"
3,2.25742513818
3.02,2.42536653012
3.04,2.45335676211
3.06,2.56531769007
3.08,2.50933722609
3.1,2.45335676211
3.12,2.36938606614
3.14,2.50933722609
3.16,2.25742513818
3.18,2.11747397823
3.2,2.03350328226
3.22,2.17345444221
3.24,2.31340560216
3.26,2.28541537017
3.28,1.94953258629
3.3,1.80958142633
3.32,1.6136498024
3.34,1.66963026638
3.36,1.22178655454
3.38,1.38972794648
3.4,0.410069826823
3.42,1.22178655454
3.44,0.661981914735
3.46,0.661981914735
3.48,0.382079594833
3.5,0.354089362842
3.52,0.130167506921
3.54,0.214138202891
3.56,-0.317676204923
3.58,-0.429637132884
3.6,-0.541598060845
3.62,-0.905471076718
3.64,-0.821500380747
3.66,-0.709539452786
3.68,-1.12939293264
3.7,-1.43728548453
3.72,-1.5212561805
3.74,1.44570841046
3.76,-0.905471076718
3.78,-1.18537339662
3.8,-1.96909989235
3.82,-2.19302174827
3.84,-2.24900221225
3.86,-2.33297290822
3.88,-2.16503151628
3.9,-2.61287522812
3.92,-2.36096314021
3.94,-2.52890453215
3.96,-2.44493383618
3.98,-2.27699244424
4,-2.27699244424
4.02,-2.44493383618
4.04,-2.50091430016
4.06,-2.16503151628
4.08,-2.3889533722
4.1,-2.08106082031
4.12,-2.27699244424
4.14,-2.13704128429
4.16,-1.99709012434
4.18,-1.91311942837
4.2,-1.57723664448
4.22,-1.96909989235
4.24,-1.66120734045
4.26,-1.38130502055
4.28,-0.317676204923
4.3,-1.85713896439
4.32,-1.71718780443
4.34,-1.35331478856
4.36,-0.961451540698
4.38,-0.821500380747
4.4,-0.765519916767
4.42,-0.877480844728
4.44,-0.401646900894
4.46,-0.597578524825
4.48,-0.00978365303054
4.5,0.270118666872
4.52,0.214138202891
4.54,0.438060058813
4.56,0.550020986774
4.58,0.410069826823
4.6,1.02585493061
4.62,1.08183539459
4.64,1.22178655454
4.66,1.41771817847
4.68,1.19379632255
4.7,1.47369864245
4.72,1.66963026638
4.74,2.11747397823
4.76,2.00551305027
4.78,2.08948374624
4.8,2.17345444221
4.82,2.11747397823
4.84,2.11747397823
4.86,2.22943490619
4.88,2.14546421022
4.9,2.22943490619
4.92,2.31340560216
4.94,2.25742513818
4.96,2.2014446742
4.98,2.2014446742
5,2.25742513818
5.02,2.06149351425
5.04,2.06149351425
5.06,1.94953258629
5.08,2.03350328226
5.1,1.86556189032
5.12,2.17345444221
5.14,1.72561073036
5.16,1.3337474825
5.18,1.55766933842
5.2,1.30575725051
5.22,1.3337474825
5.24,1.27776701852
5.26,1.08183539459
5.28,1.24977678653
5.3,0.773942842696
5.32,0.717962378715
5.34,0.494040522794
5.36,0.214138202891
5.38,0.242128434882
5.4,0.0741870429402
5.42,-0.0377738850208
5.44,-0.429637132884
5.46,-0.597578524825
5.48,-0.513607828855
5.5,-0.989441772689
